regionDNO,monthlyMean,Overall,unixTimestamp,Timestamp
10,21.262397959183676,27.06,1644856200,16:30 14-02-2022
10,21.262397959183676,27.06,1644858000,17:00 14-02-2022
10,21.262397959183676,27.06,1644859800,17:30 14-02-2022
10,21.262397959183676,27.06,1644861600,18:00 14-02-2022
10,21.262397959183676,27.06,1644863400,18:30 14-02-2022
10,21.262397959183676,11.67,1644865200,19:00 14-02-2022
10,21.262397959183676,27.06,1644940800,16:00 15-02-2022
10,21.262397959183676,27.06,1644942600,16:30 15-02-2022
10,21.262397959183676,27.06,1644944400,17:00 15-02-2022
10,21.262397959183676,27.06,1644946200,17:30 15-02-2022
10,21.262397959183676,27.06,1644948000,18:00 15-02-2022
10,21.262397959183676,27.06,1644949800,18:30 15-02-2022
10,21.262397959183676,11.67,1644951600,19:00 15-02-2022
10,21.262397959183676,27.06,1645027200,16:00 16-02-2022
10,21.262397959183676,27.06,1645029000,16:30 16-02-2022
10,21.262397959183676,27.06,1645030800,17:00 16-02-2022
10,21.262397959183676,27.06,1645032600,17:30 16-02-2022
10,21.262397959183676,27.06,1645034400,18:00 16-02-2022
10,21.262397959183676,27.06,1645036200,18:30 16-02-2022
10,21.262397959183676,11.67,1645038000,19:00 16-02-2022
10,21.262397959183676,27.06,1645113600,16:00 17-02-2022
10,21.262397959183676,27.06,1645115400,16:30 17-02-2022
10,21.262397959183676,27.06,1645117200,17:00 17-02-2022
10,21.262397959183676,27.06,1645119000,17:30 17-02-2022
10,21.262397959183676,27.06,1645120800,18:00 17-02-2022
10,21.262397959183676,27.06,1645122600,18:30 17-02-2022
10,21.262397959183676,11.67,1645124400,19:00 17-02-2022
10,21.262397959183676,27.06,1645200000,16:00 18-02-2022
10,21.262397959183676,27.06,1645201800,16:30 18-02-2022
10,21.262397959183676,27.06,1645203600,17:00 18-02-2022
10,21.262397959183676,27.06,1645205400,17:30 18-02-2022
10,21.262397959183676,27.06,1645207200,18:00 18-02-2022
10,21.262397959183676,27.06,1645209000,18:30 18-02-2022
10,21.262397959183676,11.67,1645210800,19:00 18-02-2022
10,21.262397959183676,11.88,1645286400,16:00 19-02-2022
10,21.262397959183676,11.88,1645288200,16:30 19-02-2022
10,21.262397959183676,11.88,1645290000,17:00 19-02-2022
10,21.262397959183676,11.88,1645291800,17:30 19-02-2022
10,21.262397959183676,11.88,1645293600,18:00 19-02-2022
10,21.262397959183676,11.88,1645295400,18:30 19-02-2022
10,21.262397959183676,11.41,1645297200,19:00 19-02-2022
10,21.262397959183676,11.88,1645372800,16:00 20-02-2022
10,21.262397959183676,11.88,1645374600,16:30 20-02-2022
10,21.262397959183676,11.88,1645376400,17:00 20-02-2022
10,21.262397959183676,11.88,1645378200,17:30 20-02-2022
10,21.262397959183676,11.88,1645380000,18:00 20-02-2022
10,21.262397959183676,11.88,1645381800,18:30 20-02-2022
10,21.262397959183676,11.41,1645383600,19:00 20-02-2022
10,21.262397959183676,27.06,1645459200,16:00 21-02-2022
10,21.262397959183676,27.06,1645461000,16:30 21-02-2022
10,21.262397959183676,27.06,1645462800,17:00 21-02-2022
10,21.262397959183676,27.06,1645464600,17:30 21-02-2022
10,21.262397959183676,27.06,1645466400,18:00 21-02-2022
10,21.262397959183676,27.06,1645468200,18:30 21-02-2022
10,21.262397959183676,11.67,1645470000,19:00 21-02-2022
10,21.262397959183676,27.06,1645545600,16:00 22-02-2022
10,21.262397959183676,27.06,1645547400,16:30 22-02-2022
10,21.262397959183676,27.06,1645549200,17:00 22-02-2022
10,21.262397959183676,27.06,1645551000,17:30 22-02-2022
10,21.262397959183676,27.06,1645552800,18:00 22-02-2022
10,21.262397959183676,27.06,1645554600,18:30 22-02-2022
10,21.262397959183676,11.67,1645556400,19:00 22-02-2022
10,21.262397959183676,27.06,1645632000,16:00 23-02-2022
10,21.262397959183676,27.06,1645633800,16:30 23-02-2022
10,21.262397959183676,27.06,1645635600,17:00 23-02-2022
10,21.262397959183676,27.06,1645637400,17:30 23-02-2022
10,21.262397959183676,27.06,1645639200,18:00 23-02-2022
10,21.262397959183676,27.06,1645641000,18:30 23-02-2022
10,21.262397959183676,11.67,1645642800,19:00 23-02-2022
10,21.262397959183676,27.06,1645718400,16:00 24-02-2022
10,21.262397959183676,27.06,1645720200,16:30 24-02-2022
10,21.262397959183676,27.06,1645722000,17:00 24-02-2022
10,21.262397959183676,27.06,1645723800,17:30 24-02-2022
10,21.262397959183676,27.06,1645725600,18:00 24-02-2022
10,21.262397959183676,27.06,1645727400,18:30 24-02-2022
10,21.262397959183676,11.67,1645729200,19:00 24-02-2022
10,21.262397959183676,27.06,1645804800,16:00 25-02-2022
10,21.262397959183676,27.06,1645806600,16:30 25-02-2022
10,21.262397959183676,27.06,1645808400,17:00 25-02-2022
10,21.262397959183676,27.06,1645810200,17:30 25-02-2022
10,21.262397959183676,27.06,1645812000,18:00 25-02-2022
10,21.262397959183676,27.06,1645813800,18:30 25-02-2022
10,21.262397959183676,11.67,1645815600,19:00 25-02-2022
10,21.262397959183676,11.88,1645891200,16:00 26-02-2022
10,21.262397959183676,11.88,1645893000,16:30 26-02-2022
10,21.262397959183676,11.88,1645894800,17:00 26-02-2022
10,21.262397959183676,11.88,1645896600,17:30 26-02-2022
10,21.262397959183676,11.88,1645898400,18:00 26-02-2022
10,21.262397959183676,11.88,1645900200,18:30 26-02-2022
10,21.262397959183676,11.41,1645902000,19:00 26-02-2022
10,21.262397959183676,11.88,1645977600,16:00 27-02-2022
10,21.262397959183676,11.88,1645979400,16:30 27-02-2022
10,21.262397959183676,11.88,1645981200,17:00 27-02-2022
10,21.262397959183676,11.88,1645983000,17:30 27-02-2022
10,21.262397959183676,11.88,1645984800,18:00 27-02-2022
10,21.262397959183676,11.88,1645986600,18:30 27-02-2022
10,21.262397959183676,11.41,1645988400,19:00 27-02-2022
10,21.262397959183676,27.06,1646064000,16:00 28-02-2022
10,21.262397959183676,27.06,1646065800,16:30 28-02-2022
10,21.262397959183676,27.06,1646067600,17:00 28-02-2022
10,21.262397959183676,27.06,1646069400,17:30 28-02-2022
10,21.262397959183676,27.06,1646071200,18:00 28-02-2022
10,21.262397959183676,27.06,1646073000,18:30 28-02-2022
10,21.262397959183676,11.67,1646074800,19:00 28-02-2022
10,21.49405529953917,27.06,1646150400,16:00 01-03-2022
10,21.49405529953917,27.06,1646152200,16:30 01-03-2022
10,21.49405529953917,27.06,1646154000,17:00 01-03-2022
10,21.49405529953917,27.06,1646155800,17:30 01-03-2022
10,21.49405529953917,27.06,1646157600,18:00 01-03-2022
10,21.49405529953917,27.06,1646159400,18:30 01-03-2022
10,21.49405529953917,11.67,1646161200,19:00 01-03-2022
10,21.49405529953917,27.06,1646236800,16:00 02-03-2022
10,21.49405529953917,27.06,1646238600,16:30 02-03-2022
10,21.49405529953917,27.06,1646240400,17:00 02-03-2022
10,21.49405529953917,27.06,1646242200,17:30 02-03-2022
10,21.49405529953917,27.06,1646244000,18:00 02-03-2022
10,21.49405529953917,27.06,1646245800,18:30 02-03-2022
10,21.49405529953917,11.67,1646247600,19:00 02-03-2022
10,21.49405529953917,27.06,1646323200,16:00 03-03-2022
10,21.49405529953917,27.06,1646325000,16:30 03-03-2022
10,21.49405529953917,27.06,1646326800,17:00 03-03-2022
10,21.49405529953917,27.06,1646328600,17:30 03-03-2022
10,21.49405529953917,27.06,1646330400,18:00 03-03-2022
10,21.49405529953917,27.06,1646332200,18:30 03-03-2022
10,21.49405529953917,11.67,1646334000,19:00 03-03-2022
10,21.49405529953917,27.06,1646409600,16:00 04-03-2022
10,21.49405529953917,27.06,1646411400,16:30 04-03-2022
10,21.49405529953917,27.06,1646413200,17:00 04-03-2022
10,21.49405529953917,27.06,1646415000,17:30 04-03-2022
10,21.49405529953917,27.06,1646416800,18:00 04-03-2022
10,21.49405529953917,27.06,1646418600,18:30 04-03-2022
10,21.49405529953917,11.67,1646420400,19:00 04-03-2022
10,21.49405529953917,11.88,1646496000,16:00 05-03-2022
10,21.49405529953917,11.88,1646497800,16:30 05-03-2022
10,21.49405529953917,11.88,1646499600,17:00 05-03-2022
10,21.49405529953917,11.88,1646501400,17:30 05-03-2022
10,21.49405529953917,11.88,1646503200,18:00 05-03-2022
10,21.49405529953917,11.88,1646505000,18:30 05-03-2022
10,21.49405529953917,11.41,1646506800,19:00 05-03-2022
10,21.49405529953917,11.88,1646582400,16:00 06-03-2022
10,21.49405529953917,11.88,1646584200,16:30 06-03-2022
10,21.49405529953917,11.88,1646586000,17:00 06-03-2022
